,VARIETY,BOTANICAL_NAME,PRONUNCIATION,ALIASES,DESCRIPTION,ZONE,MIN_TEMP,DIFFICULTY,HEIGHT,SPREAD,GROWTH_RATE,COMPANION_PLANTS,BLOOMING_FRUITING,SUMMER_FOLIAGE,FALL_FOLIAGE,FLOWER_COLOR,USES_CHARACTERISTICS,PRICE,DEER_RESISTANT,DROUGHT_TOLERANT,ATTRACTS_POLLINATORS,GROUND_COVER,OTHER
1156,Red Gold Potato,Solanum tuberosum,SO-lain-um tuber-OH-sum,,"Red-skinned potatoes with delicate yellow flesh have a taste and texture unlike any you have tried before! This wonderful early season variety is high yielding and semi-moist, with moderate resistance to scab. Stores well for up to 3-4 months.",44629,42°,Easy,"24-36""","18-24""",Medium,"Bush beans, celery, corn, garlic, marigolds, onions, and peas all do well planted near potatoes. Avoid planting potatoes near asparagus, Brassicas, carrots, cucumber, kohlrabi, melons, parsnips, rutabaga, squash, sunflower, and turnips.",70 Days to harvest,Green,Green,Dark Purple,"Early; Gourmet; New Potatoes; Thin Red Skins with Delicate, Yellow Flesh; High Yields; 2-3 inch Medium-Sized Round Tubers; Stores well for 3-4 months",0,,,,,
1157,Yukon Gold Potato,Solanum tuberosum,SO-lain-um tuber-OH-sum,,"popular early-season potato that produces a big, great-tasting crop of yellow-fleshed spuds with thin, gold skins and shallow eyes. Its moist flesh and sweet, buttery flavor. The plants produce plenty of spuds that can be harvested at the new potato and mature stages. This sprout-resistant potato stores well too, so you can enjoy richly flavored spuds for months.",44629,42°,Easy,"24-36""","18-24""",Moderate,"Bush beans, celery, corn, garlic, marigolds, onions, and peas all do well planted near potatoes. Avoid planting potatoes near asparagus, Brassicas, carrots, cucumber, kohlrabi, melons, parsnips, rutabaga, squash, sunflower, and turnips.",60-80 Days to harvest,Green,Green,White,"Early; Gourmet Flavor; Thin, Gold Skins with Shallow Eyes; Yellow Flesh; High Yields; Stores Well",0,,,,,
1158,Bloomsdale Long Standing Spinach,Spinacia oleracea,Spin-A-she-uh OH-ler-ahh-kee-uh,,"A classic market variety, Bloomsdale Long Standing is a large, spreading spinach with meaty, savoyed, dark-green leaves with rich, nutty flavor. Offers a continuous bonanza and is slow to bolt. For first crop, sow in spring. Plant again in late summer.",,20°,,10-12”,"4""",,"A good companion for Brassicas, eggplants, leeks, lettuce, peas, radish, and strawberries, particularly. Don’t plant spinach near potatoes.",40-48 Days to harvest,Dark Green,Dark Green,,"Heirloom; Heavy, continuous yield; Slow to bolt; Savoyed leaves; Raised Bed; Containers; Continuous harvest; Fast Growing;  Easy to Grow & Maintain; Good for Microgreens",0,,,,,
1159,Space Spinach,Spinacia oleracea,Spin-A-she-uh OH-ler-ahh-kee-uh,,"mooth Leaved Three Season Spinach Vigorous, fine tasting salad and boiling spinach

Cooks Garden Favorite. Hybrid. This is a true three season spinach: heat tolerant and slow bolting, yet also resistant to the mildew that makes fall spinach so chancy. Quick growing -- ready in 40 days or less. Upright habit with smooth, rounded dark green leaves. High nutrition crop that freezes well, blanched and packed in airtight bags.",,20°,,10-12”,"4""",,"A good companion for Brassicas, eggplants, leeks, lettuce, peas, radish, and strawberries, particularly. Don’t plant spinach near potatoes.",35 to 40 Days to harvest,Dark Green,Dark Green,,Hybrid; Resistant to bolting; HIgh yields; Smooth to slightly savoyed; Cold tolerant; Raised Bed; Container,0,,,,,
1160,Archers Gold Creeping Thyme,Thymus citriodorus,,,Bushy or mat-forming herbs with small aromatic leaves and short spikes of flowers. Creeping varieties make an attractive ground cover. Blooms in late spring to early summer.,4,-30°,,2-3”,8-10”,,,Summer,,,,Perennial; ; Ground Cover,4.5,,,,,
1161,Lemon Thyme,Thymus citrodorus aureus,,,"Looks and grows like English Thyme but that is where the similarity stops. It smells like lemon and tastes like lemon. It can be used in any recipe calling for lemon juice, lemon zest, or lemon flavoring.",,28°,,6-8”,8-12”,,,,,,,,4,,,,,
1162,Variegated Lemon Thyme,Thymus citrodorus aureus,,,"Pungently lemon scented and flavored. Golden and variegated with green. Forming a dense low mound, is not only one of the most ornamental, but also one of the most flavorful of the citriodorus thymes.",5,-20°,,6-8”,8-12”,,,,,,,,4,,,,,
1163,English Thyme,Thymus vulgaris,,,An attractive garden plant with rosy lavender flowers.,5,-20°,,6-8”,8-12”,,,,,,,,4,,,,,
1164,French Thyme,Thymus vulgaris,,,"It is a low-growing, bushy thyme with gray narrow leaves. When established, it requires little care.",5,-20°,,12-18”,8-12”,,,,,,,,4,,,,,
1165,Alaska Mix Nasturtium,Tropaeolum minus,troe-PEE-oh-lum mee-nus,Garden nasturtium; Indian Cress,"pretty, peppery, gold, orange, salmon, and mahogany flowers and tender young leaves delight the eye and palate. Compact plants with alluring variegated foliage produce blooms of sparkling color. Adds radiance and peppery pizzazz to salads.",,32°,,"10-12""","8-10""",,"These plants make a good trap crop for aphids, and they deter whiteflies, cucumber beetles, squash beetles, Colorado potato beetles, and Mexican bean beetles. It is a good companion for Brassicas, cucumbers, melons, radishes, and tomatoes. Because they grow close to the ground, nasturtiums provide good cover for ground beetles and spiders. The flowers attract a variety of pollinators, and is good for the bees.",55-65 days to harvest,Variegated green & white,Variegated green & white,"gold, orange, salmon, & mahogany","Heirloom; Open Pollinated; Edible leaves, stems and flowers; Repels insects in the garden;",0,,,,,
1166,Bluecrop Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"Introduced in 1952. Is a leading commercial variety. Medium to large, open clusters of large, firm, crack resistant, light blue, high quality fruit with good sub acid flavor. Good for fresh eating, preserves, baking and freezing. Requires 800 to 1000 chill hours to set fruit.",44658,28°/-30°,,5',4-6',Fast,Jersey or Earliblue are good for cross-pollinating. Plant blueberries near flowers like lilacs and azaleas. Lilacs attract pollinators and provide shade with its fragrant blossoms.,Mid-season fruit,Green,Red,Pink/White,"High yields of large, bright blue berries that are firm;  Flavor is superb, fresh or frozen; Hardy; Self-pollinating; Deciduous; Large fruit; Mid-Season; Northern Highbush, tends to overbear unless properly pruned; Red Branches Add Winter Color & Interest",5,,,,,
1167,Blueray Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"Reliably produces good yields. The plump, powder – blue fruits with unique raspberry overtones in their flavor are excellent for fresh eating and culinary uses. Orange-red fall color makes it an attractive ornamental too.",44658,28°/-30°,,4-6',3-4',,Plant blueberries near flowers like lilacs and azaleas. Lilacs attract pollinators and provide shade with its fragrant blossoms.,Mid-season fruit,Green,Burgundy/Purple,White/Pink,Berry Bush; Bramble; Hightbush; Midseason; Deliciously Sweet & Beautiful Fruit; Blooms Later In Spring To Avoid Frosts; Deciduous,20,,,,,
1168,Chandler Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"Introduced in 1995. Fruit is the size of cherries and has surpassingly delicious flavor, and is clearly the world s largest blueberry. Provides a bounty of fresh picked fruit for over six weeks. This bush is a vigorous grower, providing beautiful white bell shaped flowers in the spring, dark green foliage. Requires 800 to 1000 chill hours to set fruit.",44658,28°/-30°,,5-7',4-5',Fast,Plant blueberries near flowers like lilacs and azaleas. Lilacs attract pollinators and provide shade with its fragrant blossoms.,Mid-Late season fruit,Green,"Orange, Red",White,Northern Highbush; Mid-Late Season; Huge Berries Each the Size of a Cherry; Prolific Harvest of Extra-Large Fruit; Excellent Sweet Flavor; Gives Several Weeks of Harvest; Use Chandler Berries Fresh or Frozen; Edible and Ornamental Shrub in One; Vigorous; Resists Both Disease and Pests; Self-Pollinating,20,,,,,
1169,Duke Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"The most widely planted early ripening northern variety. Heavy, consistent yield with an attractive, firm, light blue, high quality berry. Blooms late but ripens early which protects the blossoms from spring frosts. Branches may droop to the ground when laden with fruit, and requires the use a simple trellis as support. Fall foliage is orange-yellow blooming in white during the spring. Requires 800 to 1000 chill hours to set fruit.",44658,28°/-30°,,4-6',5-8',Fast,Plant blueberries near flowers like lilacs and azaleas. Lilacs attract pollinators and provide shade with its fragrant blossoms.,Early season fruit,Green,Yellow/Orange,White/Pink,Flowers late to avoid late freezes but fruit ripens early; Northern Highbush; Early Season;,20,,,,,
1170,Jersey Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"One of the oldest and most widely grown of all varieties. Easy to grow, heavy producing late season variety. Jersey has dark blue, small to medium sized fruit that is very sweet and a favorite for baking. Jersey continues to be a reliable producer year after year. Requires 800 to 1000 chill hours to set fruit.",44658,28°/-30°,,4-6',4-5',,Plant blueberries near flowers like lilacs and azaleas. Lilacs attract pollinators and provide shade with its fragrant blossoms.,Late season fruit,Green,Red,White,High Bush; Mid-Season; Small to medium fruit; Delicious & Healthy Fruit; Old Fashioned Variety; Privacy & Borders; Self-Pollinating & Attracts Pollinators; Favorite for Baking,20,,,,,
1171,Northblue Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"Smaller bush, produces 3-7 lbs of sweet fruit per mature bush in very cold climates. Dusky blue fruit has a delicious wild flavor and is excellent for baking or fresh eating. Fall foliage is red-burgundy, blooming white during the spring.",44627,28°/-40°,,18-30”,48-72”,,Plant blueberries near flowers like lilacs and azaleas. Lilacs attract pollinators and provide shade with its fragrant blossoms.,Mid-season fruit,Green,Red,White,Small-Sized Compact Shrub; Mid-Season Harvest; White Blooms Tinted Pink; Pollinators Galore; Cold Hardy; Half-High Blueberry Bush; 800-1000 Chill Hours; Low Bush; Medium to Large Fruit; Self-Pollinating; 2-3 years to bear fruit,20,,,,,
1172,Razz Blueberry,Vaccinium Corymbosum,vak-SIN-ee-um kor-rim-BOW-sum,,"Reliably produces good yields. The plump, powder – blue fruits with unique raspberry overtones in their flavor are excellent for fresh eating and culinary uses. Orange-red fall color makes it an attractive ornamental too.",44658,-30°,,6-Apr,44657,,,Mid-season fruit,,,,Berry Bush; Bramble;,20,,,,,
1173,Dwarf Robin Hood Fava Bean,Vicia Faba,Vis-SEE-uh fab-uh,Broad Beans,"A new, early bearing, shorter variety that produces especially succulent, plump beans rich in vitamins, fiber and protein on bushy plants that don’t need staking. Favas are the only beans that thrive in cool weather. Plant roots fix atmospheric nitrogen in the soil, so growing them benefits the garden soil.",44630,42°,,"12-18""","12-18""",,"Good companions for broad beans include: carrots, lettuce, marigolds, celery, peas, potatoes, parsnip, cabbage, parsley, eggplant. Avoid planting near: beetroot, onions & garlic, kohl rabi, sunflowers and Jerusalem artichokes.",90 days to harvest,Green,Green,,"Open Pollinated; Containers; Harvest when the pods start to swell to enjoy the tender, tasty broad beans.",0,,,,,
1174,Stueben Grape,Vitis Stueben,,,"Introduced by the Geneva Station, New York in 1947. American. Very large, nicely formed, long and slender compact clusters. Blue to purplish black grapes. Delicious tender sweet flesh with a distinctive spicy flavor. Very good table grape and makes an excellent red wine. Vigorous, hardy, and very productive vines. Resistant to Black Rot and Downy Mildew.",44659,-30°,,,44783,,,Early,,,,Vine;,15,,,,,
1175,Baby Corn,Zea mays,ZEE MAIZE,,The plant produces good yields of tiny ears of baby corn. These tiny ears of corn are very tender and entirely edible. Excellent for stir-fries and pickling. Best if harvested within 5 days of the appearance of silk. Perfect freezing variety. An excellent choice for home gardens.,,40°,,4',"8""",,"Companion to beans, beets, cucumber, dill, melons, parsley, peas, potato, soya beans, squash, and sunflower. Avoid planting next to celery or tomatoes. Amaranth makes a great mulch between rows by competing with weeds and conserving ground moisture.",65 days to harvest,Green,Yellow,,Open Pollinated; Best Variety; Stir fry; Pickle; Good freezing variety; Salads; Gourmet; Asian Cuisine; Home Garden; Keep warm,0,,,,,
1176,Carousel Heirloom Ornamental Corn,Zea mays,ZEE MAIZE,,"The Ornamental Carousel variety of corn seeds develop into small ears that grow to be between 3.5 and five inches long miniature ears of popcorn. Some ears are solid red, the others are multicolored: white, yellow, and blue. When popped the flakes are crispy with very little hull. Plants are up to eight feet tall with two or three ears per plant.",,40°,,8',"8""",,"Companion to beans, beets, cucumber, dill, melons, parsley, peas, potato, soya beans, squash, and sunflower. Avoid planting next to celery or tomatoes. Amaranth makes a great mulch between rows by competing with weeds and conserving ground moisture.",100 days to harvest,Green,Yellow,,Heirloom; Miniature ornamental popcorn; Ears are 4 to 5 inches long; Vividly multicolored; 2-3 ears per plant,0,,,,,
1177,Delectivle RM Corn,Zea mays,ZEE MAIZE,,"large well-filled ears and dark green husk. It has a wide range of adaptability and versatility in several markets. It is pleasing to the consumer for it's good texture and taste. Delectable RM has also been given an added boost with a stronger disease package, making a favorite more favorable.",,40°,,6',"15-18""",,"Companion to beans, beets, cucumber, dill, melons, parsley, peas, potato, soya beans, squash, and sunflower. Avoid planting next to celery or tomatoes. Amaranth makes a great mulch between rows by competing with weeds and conserving ground moisture.",84 Days to harvest,Green,Green,,"Hybrid; Large, 9 inch, bicolored ears; Containers; Raised Beds; Sweet",0,,,,,
1178,Early Pink Popcorn,Zea mays,ZEE MAIZE,,"Early maturing, high yielding, very tasty, and with a range of captivating pink colors to boot! Early Pink Pearl is the perfect complement to Dakota Black. The 4-6” ears are very ornamental and range from dark purple-pink to a light pink pearl tone. Easily matures in our climate. Petite popped kernels are a very light yellow with a mild flavor.",,42°,,7',"6-8""",,"Companion to beans, beets, cucumber, dill, melons, parsley, peas, potato, soya beans, squash, and sunflower. Avoid planting next to celery or tomatoes. Amaranth makes a great mulch between rows by competing with weeds and conserving ground moisture.",85 Days to harvest,Green,Green,,"Heirloom; Mini 5-6 inch ears; Use stalks for fall decor; Ears can be dried for decor, as well",0,,,,,
